year,score_low,score_high,segment_count,cumulative_count
2025,698,750,113,113
2025,697,697,23,136
2025,696,696,12,148
2025,695,695,21,169
2025,694,694,17,186
2025,693,693,15,201
2025,692,692,27,228
2025,691,691,28,256
2025,690,690,21,277
2025,689,689,26,303
2025,688,688,37,340
2025,687,687,45,385
2025,686,686,34,419
2025,685,685,42,461
2025,684,684,42,503
2025,683,683,48,551
2025,682,682,38,589
2025,681,681,50,639
2025,680,680,46,685
2025,679,679,57,742
2025,678,678,65,807
2025,677,677,54,861
2025,676,676,50,911
2025,675,675,63,974
2025,674,674,55,1029
2025,673,673,59,1088
2025,672,672,69,1157
2025,671,671,87,1244
2025,670,670,84,1328
2025,669,669,67,1395
2025,668,668,79,1474
2025,667,667,78,1552
2025,666,666,78,1630
2025,665,665,102,1732
2025,664,664,68,1800
2025,663,663,82,1882
2025,662,662,79,1961
2025,661,661,98,2059
2025,660,660,94,2153
2025,659,659,93,2246
2025,658,658,85,2331
2025,657,657,114,2445
2025,656,656,95,2540
2025,655,655,112,2652
2025,654,654,115,2767
2025,653,653,122,2889
2025,652,652,110,2999
2025,651,651,102,3101
2025,650,650,102,3203
2025,649,649,129,3332
2025,648,648,129,3461
2025,647,647,129,3590
2025,646,646,122,3712
2025,645,645,129,3841
2025,644,644,135,3976
2025,643,643,126,4102
2025,642,642,143,4245
2025,641,641,123,4368
2025,640,640,149,4517
2025,639,639,157,4674
2025,638,638,160,4834
2025,637,637,155,4989
2025,636,636,150,5139
2025,635,635,165,5304
2025,634,634,137,5441
2025,633,633,156,5597
2025,632,632,152,5749
2025,631,631,170,5919
2025,630,630,168,6087
2025,629,629,164,6251
2025,628,628,148,6399
2025,627,627,162,6561
2025,626,626,179,6740
2025,625,625,156,6896
2025,624,624,168,7064
2025,623,623,185,7249
2025,622,622,191,7440
2025,621,621,173,7613
2025,620,620,191,7804
2025,619,619,179,7983
2025,618,618,175,8158
2025,617,617,167,8325
2025,616,616,201,8526
2025,615,615,195,8721
2025,614,614,202,8923
2025,613,613,211,9134
2025,612,612,193,9327
2025,611,611,196,9523
2025,610,610,191,9714
2025,609,609,200,9914
2025,608,608,197,10111
2025,607,607,221,10332
2025,606,606,206,10538
2025,605,605,215,10753
2025,604,604,226,10979
2025,603,603,216,11195
2025,602,602,231,11426
2025,601,601,233,11659
2025,600,600,224,11883
2025,599,599,220,12103
2025,598,598,215,12318
2025,597,597,237,12555
2025,596,596,222,12777
2025,595,595,238,13015
2025,594,594,205,13220
2025,593,593,216,13436
2025,592,592,214,13650
2025,591,591,247,13897
2025,590,590,205,14102
2025,589,589,256,14358
2025,588,588,230,14588
2025,587,587,222,14810
2025,586,586,274,15084
2025,585,585,237,15321
2025,584,584,226,15547
2025,583,583,245,15792
2025,582,582,227,16019
2025,581,581,218,16237
2025,580,580,233,16470
2025,579,579,254,16724
2025,578,578,280,17004
2025,577,577,260,17264
2025,576,576,242,17506
2025,575,575,248,17754
2025,574,574,216,17970
2025,573,573,248,18218
2025,572,572,247,18465
2025,571,571,258,18723
2025,570,570,232,18955
2025,569,569,266,19221
2025,568,568,267,19488
2025,567,567,217,19705
2025,566,566,244,19949
2025,565,565,237,20186
2025,564,564,279,20465
2025,563,563,237,20702
2025,562,562,251,20953
2025,561,561,245,21198
2025,560,560,225,21423
2025,559,559,274,21697
2025,558,558,260,21957
2025,557,557,260,22217
2025,556,556,262,22479
2025,555,555,269,22748
2025,554,554,254,23002
2025,553,553,260,23262
2025,552,552,269,23531
2025,551,551,265,23796
2025,550,550,293,24089
2025,549,549,258,24347
2025,548,548,264,24611
2025,547,547,253,24864
2025,546,546,273,25137
2025,545,545,273,25410
2025,544,544,268,25678
2025,543,543,283,25961
2025,542,542,283,26244
2025,541,541,233,26477
2025,540,540,241,26718
2025,539,539,271,26989
2025,538,538,263,27252
2025,537,537,264,27516
2025,536,536,280,27796
2025,535,535,260,28056
2025,534,534,273,28329
2025,533,533,266,28595
2025,532,532,291,28886
2025,531,531,298,29184
2025,530,530,291,29475
2025,529,529,262,29737
2025,528,528,272,30009
2025,527,527,273,30282
2025,526,526,264,30546
2025,525,525,270,30816
2025,524,524,310,31126
2025,523,523,283,31409
2025,522,522,247,31656
2025,521,521,244,31900
2025,520,520,278,32178
2025,518,518,235,32675
2025,517,517,297,32972
2025,516,516,268,33240
2025,515,515,234,33474
2025,514,514,269,33743
2025,513,513,256,33999
2025,512,512,273,34272
2025,511,511,287,34559
2025,510,510,312,34871
2025,509,509,265,35136
2025,508,508,268,35404
2025,507,507,264,35668
2025,506,506,285,35953
2025,505,505,241,36194
2025,504,504,258,36452
2025,503,503,264,36716
2025,502,502,272,36988
2025,501,501,280,37268
2025,500,500,285,37553
2025,499,499,269,37822
2025,498,498,260,38082
2025,497,497,270,38352
2025,496,496,269,38621
2025,495,495,272,38893
2025,494,494,251,39144
2025,493,493,240,39384
2025,492,492,263,39647
2025,491,491,265,39912
2025,490,490,255,40167
2025,489,489,295,40462
2025,488,488,278,40740
2025,487,487,267,41007
2025,486,486,270,41277
2025,485,485,284,41561
2025,484,484,238,41799
2025,483,483,243,42042
2025,482,482,251,42293
2025,481,481,242,42535
2025,480,480,247,42782
2025,479,479,283,43065
2025,478,478,255,43320
2025,477,477,273,43593
2025,476,476,259,43852
2025,475,475,269,44121
2025,474,474,255,44376
2025,473,473,230,44606
2025,472,472,236,44842
2025,471,471,261,45103
2025,470,470,235,45338
2025,469,469,235,45573
2025,468,468,259,45832
2025,467,467,239,46071
2025,466,466,226,46297
2025,465,465,235,46532
2025,464,464,234,46766
2025,463,463,243,47009
2025,462,462,275,47284
2025,461,461,220,47504
2025,460,460,250,47754
2025,459,459,245,47999
2025,458,458,220,48219
2025,457,457,210,48429
2025,456,456,212,48641
2025,455,455,207,48848
2025,454,454,269,49117
2025,453,453,226,49343
2025,452,452,215,49558
2025,451,451,215,49773
2025,450,450,236,50009
2025,449,449,220,50229
2025,448,448,219,50448
